timestamp,site_name,email,template,status,error
2026-03-05T11:52:48,Smithers of Stamford,gp@smithersofstamford.com,hostinger-sent,sent,
2026-03-05T11:57:50,Home & Design Magazine,editorial@homeanddesign.com,hostinger-sent,sent,
2026-03-05T12:12:55,Dwell,edit@dwell.com,hostinger-sent,sent,
2026-03-05T12:19:11,Domino,pitches@domino.com,hostinger-sent,sent,
2026-03-05T12:19:11,Lonny,submissions@lonny.com,hostinger-sent,sent,
2026-03-05T12:19:11,Decor8,holly@decor8blog.com,hostinger-sent,sent,
2026-03-05T12:24:13,Design Milk,info@design-milk.com,hostinger-sent,sent,
2026-03-05T12:31:59,Lonny,submissions@lonny.com,reply-detected,replied,
2026-03-05T13:52:30,Smithers of Stamford,gp@smithersofstamford.com,reply-detected,replied,
2026-03-09T11:21:44,Homedit,contact@homedit.com,hostinger-sent,sent,
2026-03-09T11:21:44,HuffPost Home,pitch@huffpost.com,hostinger-sent,sent,
2026-03-09T11:46:54,Inman,contributors@inman.com,hostinger-sent,sent,
2026-03-09T11:46:54,The Spruce,pitch@thespruce.com,hostinger-sent,sent,
2026-03-09T11:46:54,Family Handyman,submissions@familyhandyman.com,hostinger-sent,sent,
2026-03-11T16:36:52,Remodelista,editorial@remodelista.com,hostinger-sent,failed,550 5.4.1 recipient rejected
2026-03-11T16:36:52,Bob Vila,contact@bobvila.com,hostinger-sent,sent,
2026-03-11T16:41:54,This Old House,contact@thisoldhouse.com,hostinger-sent,sent,
2026-03-11T16:41:54,Apartment Therapy,lizzy.francis@apartmenttherapy.com,hostinger-sent,sent,
2026-03-11T16:41:54,Curbed,curbed@nymag.com,hostinger-sent,sent,
2026-03-11T16:58:08,This Old House,support@thisoldhouse.zendesk.com,reply-detected,replied,
2026-03-12T16:51:25,Forbes Home,ideas@forbes.com,manual-a.saima,sent,
2026-03-12T16:51:25,Decoist,contact@decoist.com,manual-a.saima,sent,
2026-03-12T16:51:25,Hunker,staff@hunker.com,manual-a.saima,sent,
2026-03-16T15:35:06,Homedit,contact@homedit.com,followup-shamiq,sent,
2026-03-16T15:35:06,HuffPost Home,pitch@huffpost.com,followup-shamiq,sent,
2026-03-16T15:35:06,Inman,contributors@inman.com,followup-shamiq,sent,
2026-03-16T15:35:06,Family Handyman,submissions@familyhandyman.com,followup-shamiq,sent,
2026-03-16T15:35:06,The Spruce,pitch@thespruce.com,followup-shamiq,failed,550-5.1.1 email does not exist
2026-03-16T15:35:06,Bob Vila,contact@bobvila.com,followup-shamiq,sent,
2026-03-16T15:35:06,This Old House,contact@thisoldhouse.com,followup-shamiq,sent,
2026-03-16T15:35:06,Apartment Therapy,lizzy.francis@apartmenttherapy.com,followup-shamiq,sent,
2026-03-16T15:35:06,Curbed,curbed@nymag.com,followup-shamiq,failed,550-5.1.1 email does not exist
